upstream_commit,file,test,behavior,copper_owner,copper_test,disposition,notes
ce1973e6,pkg/cypher/e2e_query_test.go,TestE2E_Set_MapPropertyWithColonInQuotedKey,"quoted map keys preserve ':' without quote characters",cypher/eval,"parse_map_literal_preserves_colon_in_quoted_key; test_set_map_property_with_colon_in_quoted_key",implemented,"Map-key parsing now strips matching single, double, or backtick quotes while leaving general identifier parsing unchanged."
4f35ea92,pkg/cypher/delete_connected_guard_test.go,TestDeleteConnectedNodeWithoutDetach_Errors,"plain DELETE of a connected node fails and preserves nodes and relationship",eval,"test_delete_connected_node_without_detach_preserves_graph",implemented,"Clause-wide preflight rejects any adjacent relationship that is not explicitly listed for deletion."
4f35ea92,pkg/cypher/delete_connected_guard_test.go,TestDeleteNodeAndItsOwnEdgeTogether_Succeeds,"DELETE node and its own relationship in one statement succeeds",eval,"test_delete_node_and_its_own_edge_together_succeeds",implemented,"The delete preflight permits edges explicitly included in the same clause."
4f35ea92,pkg/cypher/delete_connected_guard_test.go,TestDeleteOrphanNodeWithoutDetach_Succeeds,"plain DELETE succeeds for an orphan node",eval,"test_delete_orphan_node_without_detach_succeeds",merged-equivalent,"Existing delete preflight only rejects nodes with undeleted adjacent relationships; this regression adds exact orphan-delete evidence."
4f35ea92,pkg/cypher/delete_connected_guard_test.go,TestDetachDeleteConnectedNode_Succeeds,"DETACH DELETE removes a connected node and its incident relationships",eval,"test_detach_delete_connected_node_succeeds",merged-equivalent,"Existing DETACH DELETE execution removes incident relationships and preserves peer nodes; this regression adds exact upstream evidence."
4f35ea92,pkg/cypher/delete_connected_guard_test.go,TestDeleteMultiRowOneConnected_ErrorsAndDeletesNothing,"a multi-row plain DELETE rejects atomically when any selected node retains a relationship",eval,"test_multi_row_delete_with_connected_node_is_atomic",merged-equivalent,"Existing clause-wide preflight validates every selected node before mutation; this regression adds exact all-or-nothing evidence."
4f35ea92,pkg/cypher/delete_connected_guard_test.go,TestDeleteConnectedNodeParameterizedWhere_Errors,"parameterized WHERE selection still rejects plain DELETE of a connected node",eval,"test_parameterized_connected_node_delete_is_rejected",merged-equivalent,"Existing deletion preflight is applied after parameterized WHERE matching; this regression adds exact upstream evidence."
4f35ea92,pkg/cypher/delete_connected_guard_test.go,TestDeleteConnectedNodeExplicitTransactionRollback_Errors,"explicit transaction rejects plain DELETE of a connected node and rollback preserves committed state",eval/server,"appstate_bolt_executor_rejects_connected_node_delete_in_transaction",implemented,"Adds transaction-overlay clause-wide connected-delete preflight before any tombstone is staged."
4f35ea92,pkg/cypher/delete_connected_guard_test.go,TestDeleteMultipleNodesWithSurvivingEdge_Errors,"plain DELETE of both connected endpoints rejects when their edge is not also deleted",eval,"test_delete_connected_endpoints_without_edge_is_rejected",merged-equivalent,"Existing clause-wide preflight sees the surviving edge for each endpoint; this regression adds exact upstream evidence."
883065cd,pkg/cypher/bug_optional_match_function_projection_test.go,TestFix_TrailingOptionalMatch_UnmatchedOptionalYieldsNullRow,"trailing OPTIONAL MATCH retains left row and prior relationship function projection",eval,"test_trailing_optional_match_preserves_prior_relationship_function_projection",merged-equivalent,"Existing optional-match execution already preserves null-extended rows; this regression adds exact upstream evidence."
883065cd,pkg/cypher/bug_optional_match_function_projection_test.go,TestFix_TrailingOptionalMatch_GroupedAggregate,"trailing OPTIONAL MATCH aggregates matched rows per retained target",eval,"test_trailing_optional_match_groups_file_aggregate_by_target",merged-equivalent,"Existing grouping implementation produces the upstream count(tf) result; this regression adds exact upstream evidence."
